,Compound Score,Negative Score,Neutral Score,News_organization,Positive Score,Tweets Ago
18,-0.7603,0.273,0.645,New York times,0.082,19
19,-0.8494,0.339,0.661,New York times,0.0,20
20,-0.8126,0.402,0.598,New York times,0.0,21
21,-0.6633,0.198,0.802,New York times,0.0,22
22,-0.6633,0.198,0.802,New York times,0.0,23
23,0.0387,0.0,0.95,New York times,0.05,24
24,-0.7125,0.238,0.762,New York times,0.0,25
25,0.0,0.0,1.0,New York times,0.0,26
26,-0.2808,0.226,0.588,New York times,0.187,27
27,-0.8192,0.379,0.621,New York times,0.0,28
28,-0.4084,0.192,0.692,New York times,0.117,29
29,-0.0085,0.165,0.634,New York times,0.201,30
30,-0.5051,0.162,0.838,New York times,0.0,31
31,-0.824,0.307,0.606,New York times,0.087,32
32,-0.6249,0.212,0.788,New York times,0.0,33
33,-0.5766,0.221,0.687,New York times,0.093,34
34,-0.5622,0.169,0.762,New York times,0.069,35
35,-0.4084,0.244,0.607,New York times,0.149,36
36,-0.6633,0.228,0.772,New York times,0.0,37
37,0.6124,0.0,0.762,New York times,0.238,38
38,-0.7603,0.273,0.645,New York times,0.082,39
39,-0.8494,0.339,0.661,New York times,0.0,40
40,-0.7865,0.267,0.733,New York times,0.0,41
41,0.7712,0.0,0.688,New York times,0.312,42
42,0.6597,0.0,0.69,New York times,0.31,43
43,0.0,0.0,1.0,New York times,0.0,44
44,0.4199,0.0,0.264,New York times,0.736,45
45,0.0772,0.0,0.794,New York times,0.206,46
46,0.0772,0.0,0.794,New York times,0.206,47
47,0.0772,0.0,0.794,New York times,0.206,48
48,0.0772,0.0,0.794,New York times,0.206,49
49,0.0772,0.0,0.794,New York times,0.206,50
50,0.0772,0.0,0.794,New York times,0.206,51
51,0.0772,0.0,0.794,New York times,0.206,52
52,0.0772,0.0,0.794,New York times,0.206,53
53,0.0,0.0,1.0,New York times,0.0,54
54,0.0,0.0,1.0,New York times,0.0,55
55,0.6249,0.0,0.728,New York times,0.272,56
